image_name,category_name,answer
007233.jpg,dining table,0
003927.jpg,bird,0
008631.jpg,bottle,0
007665.jpg,dining table,0
002927.jpg,boat,0
001657.jpg,person,1
006193.jpg,person,1
007051.jpg,bird,1
004316.jpg,cat,1
007948.jpg,person,1
008304.jpg,cow,2
008551.jpg,person,2
009742.jpg,chair,2
005447.jpg,person,2
004615.jpg,car,2
000666.jpg,person,4
007516.jpg,cow,5
004739.jpg,person,4
002242.jpg,person,3
000506.jpg,person,3
007573.jpg,person,17
006604.jpg,boat,22
009267.jpg,car,4
004855.jpg,person,4
008786.jpg,horse,5
000984.jpg,person,5
009548.jpg,person,6
003139.jpg,dining table,8
002317.jpg,person,8
008954.jpg,tv monitor,5
006145.jpg,person,6
003234.jpg,person,6
007069.jpg,cow,7
005900.jpg,person,8
003434.jpg,person,8
003341.jpg,person,7
005148.jpg,person,10
003148.jpg,bird,7
009047.jpg,person,9
004054.jpg,person,7
002788.jpg,chair,13
008402.jpg,person,8
005666.jpg,person,11
003006.jpg,car,9
000226.jpg,chair,16
000571.jpg,tv monitor,10
000178.jpg,bottle,9
006906.jpg,person,11
005060.jpg,person,9
005329.jpg,boat,15
006984.jpg,chair,12
005442.jpg,person,12
002475.jpg,person,12
007906.jpg,car,12
007207.jpg,person,13
001410.jpg,boat,21
002996.jpg,bird,11
002781.jpg,person,12
000744.jpg,person,12
005635.jpg,bottle,12
002818.jpg,cow,15
003345.jpg,chair,12
003882.jpg,potted plant,12
008207.jpg,person,12
001792.jpg,person,12
003680.jpg,person,21
006226.jpg,person,13
006155.jpg,car,14
001244.jpg,bottle,19
008245.jpg,chair,13
000527.jpg,person,18
009430.jpg,person,17
005665.jpg,chair,17
001893.jpg,person,19
000191.jpg,person,28
009451.jpg,sheep,30
002773.jpg,bottle,44
002557.jpg,potted plant,16
000784.jpg,person,15
008910.jpg,car,15
009284.jpg,person,26
002235.jpg,bottle,21
009854.jpg,person,16
000126.jpg,chair,22
009601.jpg,person,37
003448.jpg,potted plant,17
006693.jpg,person,23
004006.jpg,person,24
009727.jpg,boat,21
008134.jpg,bottle,78
003076.jpg,bottle,19
007644.jpg,potted plant,21
003896.jpg,bird,27
006471.jpg,person,27
007741.jpg,bird,60
004236.jpg,bottle,24
007569.jpg,bottle,25
004827.jpg,sheep,41
001925.jpg,bottle,28
001275.jpg,bird,34
005771.jpg,boat,41
006500.jpg,bottle,44
